region,avg_price
imperial county,34951.68067226891
logan,33941.920529801326
salt lake city,33722.52060737527
east oregon,33349.419106317415
olympic peninsula,33336.380281690144
moses lake,32163.665242165243
scottsbluff / panhandle,32093.10280373832
boone,31451.53605015674
pullman / moscow,31268.680084745763
southwest TX,30607.166666666668
